127.0.0.1 - - [29/Mar/2020:20:09:19 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:09:20 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:29:32 +0800] "GET /WebProject_Dynamic/servletDemoLuxiwen1 HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:30:11 +0800] "GET /WebProject_Dynamic/servletDemoLuxiwen1 HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:30:38 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:31:29 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:34:10 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:34:46 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:36:00 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:36:01 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:37:12 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:37:21 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:37:22 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:37:28 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:38:46 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:38:50 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:38:52 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:40:02 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:40:04 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:44:11 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:44:12 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:44:18 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:45:39 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:46:25 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:46:37 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:46:51 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:46:58 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:47:01 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:47:08 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:47:11 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:47:16 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:47:21 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:48:28 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:48:35 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:48:47 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:49:12 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:49:22 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:49:51 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:50:10 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [29/Mar/2020:20:50:33 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [29/Mar/2020:21:53:27 +0800] "GET /WebProject/ServletDemo2 HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [29/Mar/2020:21:53:35 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 130
