127.0.0.1 - - [20/Apr/2020:21:17:28 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:29 +0800] "GET /WebProject/html/zhuceSucc.html HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:29 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:29 +0800] "GET /WebProject/images/zhuce-image-1.png HTTP/1.1" 200 20650
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:29 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:29 +0800] "GET /WebProject/images/bk-zhuce-1.png HTTP/1.1" 200 509703
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:29 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:52 +0800] "GET /WebProject/html/zhuce.html HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:52 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:17:52 +0800] "GET /WebProject/images/user.png HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/index.html HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 200 212492
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 200 316160
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 200 403756
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 200 499535
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 200 407900
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:18:54 +0800] "GET /WebProject/css/img/ico.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:19:38 +0800] "GET /WebProject/index.html HTTP/1.1" 200 6920
